
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002977                       # Number of seconds simulated (Second)
simTicks                                   2977235500                       # Number of ticks simulated (Tick)
finalTick                                  2977235500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     14.38                       # Real time elapsed on the host (Second)
hostTickRate                                207072205                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     685164                       # Number of bytes of host memory used (Byte)
simInsts                                     10000000                       # Number of instructions simulated (Count)
simOps                                       10000018                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   695513                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     695514                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          5954472                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.595447                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.679410                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10156514                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      100                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10103861                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     52                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               156581                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            149049                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  43                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5931904                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.703308                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.917242                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1653863     27.88%     27.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2785503     46.96%     74.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      7823      0.13%     74.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     48757      0.82%     75.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     45809      0.77%     76.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1377946     23.23%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      4308      0.07%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      5533      0.09%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2362      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5931904                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1884     69.06%     69.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     69.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     69.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     69.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     69.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     69.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     69.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     69.06% # attempts to use FU when none available (Count)
