
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002976                       # Number of seconds simulated (Second)
simTicks                                   2975720500                       # Number of ticks simulated (Tick)
finalTick                                  2975720500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     14.76                       # Real time elapsed on the host (Second)
hostTickRate                                201648913                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     685164                       # Number of bytes of host memory used (Byte)
simInsts                                     10000000                       # Number of instructions simulated (Count)
simOps                                       10000018                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   677575                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     677576                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          5951442                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.595144                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.680265                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10154316                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      104                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10101889                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     58                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               154387                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            147843                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  47                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5928846                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.703854                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.917527                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1651992     27.86%     27.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2784809     46.97%     74.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      7967      0.13%     74.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     48149      0.81%     75.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     45432      0.77%     76.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1378279     23.25%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      4314      0.07%     99.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      5540      0.09%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2364      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5928846                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1882     68.96%     68.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     68.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     68.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     68.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     68.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     68.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     68.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     68.96% # attempts to use FU when none available (Count)
