
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002866                       # Number of seconds simulated (Second)
simTicks                                   2866344000                       # Number of ticks simulated (Tick)
finalTick                                  2866344000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     14.68                       # Real time elapsed on the host (Second)
hostTickRate                                195225531                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     687212                       # Number of bytes of host memory used (Byte)
simInsts                                     10000000                       # Number of instructions simulated (Count)
simOps                                       10000018                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   681089                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     681090                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          5732689                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.573269                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.744382                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10010176                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       84                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10007623                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     37                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                10227                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              5686                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  27                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5710343                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.752543                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.924277                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1501962     26.30%     26.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2697382     47.24%     73.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     48247      0.84%     74.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     27477      0.48%     74.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     66884      1.17%     76.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1356479     23.75%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      4901      0.09%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      4109      0.07%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2902      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5710343                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1943     72.69%     72.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     72.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     72.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     72.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     72.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     72.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     72.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     72.69% # attempts to use FU when none available (Count)
