
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001877                       # Number of seconds simulated (Second)
simTicks                                   1876570000                       # Number of ticks simulated (Tick)
finalTick                                  1876570000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     21.65                       # Real time elapsed on the host (Second)
hostTickRate                                 86677942                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     693520                       # Number of bytes of host memory used (Byte)
simInsts                                     10000006                       # Number of instructions simulated (Count)
simOps                                       10000024                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   461894                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     461894                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3753141                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.375314                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.664437                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        10113280                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       78                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       10079400                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    273                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               113315                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             63530                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  21                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3729200                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.702832                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.991151                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    527885     14.16%     14.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    690720     18.52%     32.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    728754     19.54%     52.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    451236     12.10%     64.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    681087     18.26%     82.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    256675      6.88%     89.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    249985      6.70%     96.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     73033      1.96%     98.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     69825      1.87%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3729200                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   10982      1.53%      1.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 529798     73.87%     75.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                  175731     24.50%     99.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.90% # attempts to use FU when none available (Count)
